Rank;Player name;Position;Age;Team;Games played;Minutes played per game;Field goals per game;Field goal attempts per game;3-point field goals per game;3-point field goal attempts per game;2-point field goals per game;2-point field goal attempts per game;Free throws per game;Free throw attempts per game;Total rebounds per game;Assists per game;Steals per game;Blocks per game;Turnovers per game;Personal fouls per game;Points per game
105;Gary Clark;PF;27;NOP;38;9.9;0.9;2.3;0.7;1.8;0.1;0.5;0.2;0.3;2.4;0.5;0.3;0.2;0.3;0.5;2.7
106;Brandon Clarke;PF;25;MEM;64;19.5;4.5;7;0.1;0.3;4.4;6.6;1.3;2;5.3;1.3;0.6;1.1;0.5;1.9;10.4
107;Jordan Clarkson;SG;29;UTA;79;27.1;5.9;14.1;2.4;7.6;3.5;6.5;1.8;2.2;3.5;2.5;0.8;0.2;1.6;1.9;16
108;Nic Claxton;C;22;BRK;47;20.7;3.8;5.6;0;0;3.8;5.6;1.1;2;5.6;0.9;0.5;1.1;0.8;2.3;8.7
109;Amir Coffey;SG;24;LAC;69;22.7;3.1;6.8;1.4;3.7;1.7;3.1;1.5;1.7;2.9;1.8;0.6;0.2;0.7;1.3;9
110;John Collins;PF;24;ATL;54;30.8;6.3;11.9;1.2;3.3;5.1;8.7;2.5;3.1;7.8;1.8;0.6;1;1.1;3;16.2
111;Zach Collins;PF;24;SAS;28;17.9;2.7;5.5;0.5;1.5;2.2;4.1;1.9;2.3;5.5;2.2;0.5;0.8;1.6;2.4;7.8
112;Darren Collison;PG;34;LAL;3;12.3;0.7;2.3;0;1;0.7;1.3;0;0;1.3;0.7;0.3;0;0.3;1.7;1.3
113;Mike Conley;PG;34;UTA;72;28.6;4.8;11;2.3;5.8;2.4;5.2;1.8;2.3;3;5.3;1.3;0.3;1.7;2;13.7
114;Pat Connaughton;SG;29;MIL;65;26;3.5;7.6;2.2;5.7;1.2;1.9;0.7;0.8;4.2;1.3;0.9;0.2;0.5;1.3;9.9
115;Tyler Cook;PF;24;CHI;20;10;1.2;1.9;0;0;1.2;1.9;1.1;1.6;2.7;0.2;0.2;0.2;0.4;1.4;3.4
116;Sharife Cooper;PG;20;ATL;13;3;0.2;1.1;0.1;0.5;0.2;0.6;0;0;0.4;0.4;0;0;0.4;0.1;0.5
117;Petr Cornelie;PF;26;DEN;13;2.9;0.4;1.2;0.1;0.6;0.3;0.5;0.2;0.3;1.1;0.2;0.1;0.1;0.3;0.5;1.1
118;DeMarcus Cousins;C;31;TOT;48;15;3.1;6.8;0.8;2.5;2.3;4.2;2;2.6;5.6;1.5;0.7;0.4;1.8;2.9;9
118;DeMarcus Cousins;C;31;MIL;17;16.9;3.2;6.9;0.8;2.8;2.5;4.1;1.8;2.2;5.8;1.1;0.9;0.5;0.9;2.7;9.1
118;DeMarcus Cousins;C;31;DEN;31;13.9;3;6.6;0.8;2.4;2.3;4.3;2.1;2.8;5.5;1.7;0.6;0.4;2.2;3;8.9
119;Robert Covington;PF-SF;31;TOT;71;27.3;2.9;7;1.8;4.8;1.1;2.2;0.8;1;5.5;1.3;1.5;1.3;1.1;2.7;8.5
119;Robert Covington;PF;31;POR;48;29.8;2.7;7;1.6;4.8;1;2.2;0.6;0.8;5.7;1.4;1.5;1.3;1.2;2.8;7.6
119;Robert Covington;SF;31;LAC;23;22.1;3.5;7;2.1;4.7;1.4;2.3;1.2;1.4;5.1;1;1.3;1.2;0.7;2.5;10.4
120;Torrey Craig;SF;31;TOT;78;20.5;2.6;5.7;1;3;1.6;2.7;0.5;0.7;4;1.2;0.6;0.5;0.9;1.9;6.6
120;Torrey Craig;SF;31;IND;51;20.3;2.5;5.5;0.9;2.7;1.6;2.8;0.5;0.7;3.8;1.1;0.5;0.4;0.8;1.9;6.5
120;Torrey Craig;SF;31;PHO;27;20.8;2.7;5.9;1.1;3.6;1.5;2.4;0.4;0.6;4.3;1.2;0.8;0.6;1;2.1;6.9
121;Jae Crowder;PF;31;PHO;67;28.1;3.2;8.1;1.9;5.4;1.3;2.7;1.1;1.3;5.3;1.9;1.4;0.4;0.8;2.6;9.4
122;Jarrett Culver;SG;22;MEM;37;9.1;1.4;3.6;0.3;1.3;1.1;2.4;0.4;0.9;1.3;0.9;0.5;0.1;0.5;1.1;3.5
123;Jarron Cumberland;SG;24;POR;3;4;0.3;0.7;0;0.3;0.3;0.3;0;0;1;0.3;0;0;0;0.7;0.7
124;Cade Cunningham;PG;20;DET;64;32.6;6.7;16.1;1.8;5.7;4.9;10.4;2.2;2.6;5.5;5.6;1.2;0.7;3.7;3.1;17.4
125;Seth Curry;SG;31;TOT;64;33.4;5.6;11.5;2.5;5.8;3.2;5.7;1.3;1.5;3.1;3.6;0.8;0.2;1.7;2.3;15
125;Seth Curry;SG;31;PHI;45;34.8;5.7;11.7;2.2;5.6;3.5;6.2;1.4;1.6;3.4;4;0.8;0.2;1.9;2.2;15
125;Seth Curry;SG;31;BRK;19;29.9;5.5;11.1;3.1;6.5;2.4;4.6;0.9;1.1;2.6;2.6;0.9;0.2;1.3;2.5;14.9
126;Stephen Curry;PG;33;GSW;64;34.5;8.4;19.1;4.5;11.7;3.9;7.4;4.3;4.7;5.2;6.3;1.3;0.4;3.2;2;25.5
127;Anthony Davis;C;28;LAL;40;35.1;9.3;17.4;0.3;1.8;8.9;15.6;4.4;6.1;9.9;3.1;1.2;2.3;2.1;2.4;23.2
128;Ed Davis;C;32;CLE;31;6.5;0.4;0.5;0;0;0.4;0.5;0.2;0.5;2.1;0.2;0.1;0.3;0.2;1.1;0.9
129;Terence Davis;SG;24;SAC;30;17.9;3.8;8.9;1.6;5;2.1;3.9;1.2;1.5;3.1;1.3;0.8;0.4;1.1;2.3;10.4
